Gender,Domicile,DegreeTitle,MatricMarks,MatricMaxMarks,MetricBoardName,InterDegreeTitle,InterMarks,InterMaxMarks,InterSubjects,InterBoard,NtsMarks,Session,Year,hum100,csc101,mth100,mth101,phy121,hum110,hum114,csc102,eee241,csc110,mth104,csc211,csc103,csc241,hum102,mth105,hum103,bio231,hum111,eee121,cse291,mth231,mgt101,csc322,mth262,cse304,csc339,cse305,cse303,csc371,csc291,csc336,csc301,csc462,csc141,bio130,bio111,bio132,mth242,phy120,csc356,cse302,cse494,cse333,csc461,cse350,csc303,cse356,csc475,cse455,cse498,csc412,csc441,eee440,csc350,csc321,csc454,csc483,csc498,csc312,csc354,csc496,mgt403,bio310,cse354,cse499,hum430,hum220,cse483,env230,hum434,csc402,csc499,mgt131,csc455,phy100,phy229,csc471,csc112,csc221,mgt350,eee231,csc494,csc444,hum320,csc478,cse299,csc479,csc448,csc271,mth467,cse355,csc456,csc253,mth375,bsc208,csc201,csc330,csc445,csc447,csc314,csc392,csc443,csc332,csc536,csc304,csc581,csc348,csc571,hum431,csc328,hum432,csc334,csc353,cse330,csd201,csd205,csd204,eee119,csd203,csd200,csd102,csd100,csd101,csd202,gpa_sem_1,gpa_sem_2,gpa_sem_3,gpa_sem_4,gpa_sem_5,gpa_sem_6,gpa_sem_7,gpa_sem_8,gpa_sem_9,gpa_sem_10,gpa_sem_11,gpa_sem_12,newRegNo,Program,LG,CGPA,null_row_count,real_merit,session_ordered,dropout,board_clean,reduced_boards,matric%,inter%,inter_sbuject_clean,boards_cat,inter_sbuject_cat,Gender_cat,Program_cat,gpa_sem_1_cat
Male,Punjab,Matric,849,1100,"FBISE, Islamabad",ICS,949,1100,Computer Science,"fbise, islamabad",80,SP22,2022,2.23,2.23,,,2.23,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,,,,,,,,,,,,ciit/sp22-bse-166/isb,bse,,2.23,136,82.22727273,16,,fbise,federal board,0.771818182,0.862727273,cs,30,0,1,0,1
Male,Fata,Matric,825,1100,"FBISE, Islamabad","ICS (Math, Physics, Computer)",988,1100,Computer Science,"fbise, islamabad",77,SP22,2022,2.89,2.89,,,2.89,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.89,,,,,,,,,,,,ciit/sp22-bse-2635/isb,bse,,2.89,134,81.92727273,16,,fbise,federal board,0.75,0.898181818,cs,30,0,1,0,3
Male,Punjab,Matric,853,1100,"BISE, Rawalpindi","ICS (Math, Physics, Computer)",1025,1100,Computer Science,"fbise, islamabad",79,SP22,2022,3.18,3.18,,,3.18,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,,,,,,,,,,,,ciit/sp22-bse-620/isb,bse,,3.18,136,84.52727273,16,,fbise,federal board,0.775454545,0.931818182,cs,30,0,1,0,4
Female,Sindh,Matric,945,1100,"FBISE, Islamabad",FSC,866,1100,Pre Medical,"fbise, islamabad",88,SP22,2022,2.54,2.54,2.54,2.54,2.54,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.54,,,,,,,,,,,,ciit/sp22-bse-388/isb,bse,,2.54,134,84.08181818,16,,fbise,federal board,0.859090909,0.787272727,premed,30,3,0,0,2
Male,Punjab,Matric,997,1100,"BISE, Bahawalpur",FSC,960,1100,Pre Engineering,"bise, sukkur",76,SP22,2022,2.74,2.74,,,2.74,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74,,,,,,,,,,,,ciit/sp22-bse-3468/isb,bse,,2.74,134,81.97272727,16,,bise sukkur,sindh boards,0.906363636,0.872727273,preeng,3,2,1,0,3
Male,Khyber Pakhtoonkhawa,Matric,918,1100,"BISE, Mardan",FSC,0,1100,Pre Medical,"bise, mardan",71,SP22,2021,2.68,2.68,2.68,2.68,2.68,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.68,,,,,,,,,,,,ciit/sp22-bse-1761/isb,bse,,2.68,134,43.84545455,16,,bise mardan,kpk boards,0.834545455,0,premed,16,3,1,0,2
Female,Punjab,Matric,1000,1100,"BISE, Bahawalpur",FSC,1001,1100,Pre Medical,"bise, bahawalpur",81,SP22,2022,3.66,3.66,3.66,3.66,3.66,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66,,,,,,,,,,,,ciit/sp22-bse-2185/isb,bse,,3.66,136,85.99090909,16,,bise bahawalpur,punjab boards,0.909090909,0.91,premed,21,3,0,0,5
Female,Islamabad Capital Territory,Matric,1060,1100,"FBISE, Islamabad",FSC,1018,1100,Pre Medical,"fbise, islamabad",72,SP22,2022,3.02,3.02,3.02,3.02,3.02,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02,,,,,,,,,,,,ciit/sp22-bse-1449/isb,bse,,3.02,134,82.65454545,16,,fbise,federal board,0.963636364,0.925454545,premed,30,3,0,0,4
Male,Punjab,Matric,878,1100,"FBISE, Islamabad","ICS (Math, Physics, Computer)",817,1100,Computer Science,"fbise, islamabad",88,SP22,2022,2.97,2.97,,,2.97,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,,,,,,,,,,,,ciit/sp22-bse-766/isb,bse,,2.97,136,81.69090909,16,,fbise,federal board,0.798181818,0.742727273,cs,30,0,1,0,3
Female,Punjab,Matric,1002,1100,"FBISE, Islamabad",FSC,0,1100,Pre Medical,"fbise, islamabad",76,SP22,2021,2.69,2.69,2.69,2.69,2.69,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.69,,,,,,,,,,,,ciit/sp22-bse-97/isb,bse,,2.69,136,47.10909091,16,,fbise,federal board,0.910909091,0,premed,30,3,0,0,2
Male,Punjab,Matric,1001,1100,"FBISE, Islamabad",FSC,1002,1100,Pre Engineering,"fbise, islamabad",74,SP22,2022,3.72,3.72,,,3.72,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,,,,,,,,,,,,ciit/sp22-bse-195/isb,bse,,3.72,136,82.53636364,16,,fbise,federal board,0.91,0.910909091,preeng,30,2,1,0,6
Female,Punjab,Matric,975,1100,"BISE, Rawalpindi",FSC,1070,1100,Pre Engineering,"bise, rawalpindi",83,SP22,2022,3.15,3.15,,,3.15,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,,,,,,,,,,,,ciit/sp22-bse-612/isb,bse,,3.15,136,89.27272727,16,,bise rawalpindi,punjab boards,0.886363636,0.972727273,preeng,27,2,0,0,4
Male,Punjab,Matric,873,1100,"Agha Khan University Board, Karachi",FSC,811,1100,Pre Engineering,"agha khan university board, karachi",89,SP22,2022,2.63,2.63,,,2.63,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,,,,,,,,,,ciit/sp22-bse-2338/isb,bse,,2.63,136,81.92727273,16,,akub karachi,sindh boards,0.793636364,0.737272727,preeng,0,2,1,0,2
